"Показник","Територіальний розріз","Категорія розрізу","Розріз","Періодичність","Період","Значення cпостереження","Одиниця виміру","Масштабування","Кількість десяткових знаків","Спеціальне значення даних","Примітки набору даних","Примітки часового ряду","Примітки спостереження"
"Випуск сільського господарства (у фактичних цінах)","Україна","Види (групи) продукції (діяльності)","Випуск тваринництва","Річна","2018","200935","Гривня","Мільйони","Нуль","","","Дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях.",""
"Випуск сільського господарства (у фактичних цінах)","Україна","Види (групи) продукції (діяльності)","Випуск тваринництва","Річна","2019","200990","Гривня","Мільйони","Нуль","","","Дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях.",""
"Випуск сільського господарства (у фактичних цінах)","Україна","Види (групи) продукції (діяльності)","Випуск тваринництва","Річна","2020","203942","Гривня","Мільйони","Нуль","","","Дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях.",""
"Випуск сільського господарства (у фактичних цінах)","Україна","Види (групи) продукції (діяльності)","Випуск тваринництва","Річна","2021","237586","Гривня","Мільйони","Нуль","","","Дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях.",""
"Випуск сільського господарства (у фактичних цінах)","Україна","Види (групи) продукції (діяльності)","Випуск тваринництва","Річна","2022","243599","Гривня","Мільйони","Нуль","","","Дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях.",""
" Рахунки виробництва та утворення доходу у сільському господарстві (у фактичних цінах)","Україна","Елементи рахунків","Чиста додана вартість у сільському господарстві у фактичних цінах","Річна","2014","146404","Гривня","Мільйони","Нуль","","","Дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях.",""
" Рахунки виробництва та утворення доходу у сільському господарстві (у фактичних цінах)","Україна","Елементи рахунків","Чиста додана вартість у сільському господарстві у фактичних цінах","Річна","2015","218358","Гривня","Мільйони","Нуль","","","Дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях.",""
" Рахунки виробництва та утворення доходу у сільському господарстві (у фактичних цінах)","Україна","Елементи рахунків","Чиста додана вартість у сільському господарстві у фактичних цінах","Річна","2016","254080","Гривня","Мільйони","Нуль","","","Дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях.",""
" Рахунки виробництва та утворення доходу у сільському господарстві (у фактичних цінах)","Україна","Елементи рахунків","Чиста додана вартість у сільському господарстві у фактичних цінах","Річна","2017","270000","Гривня","Мільйони","Нуль","","","Дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях.",""
" Рахунки виробництва та утворення доходу у сільському господарстві (у фактичних цінах)","Україна","Елементи рахунків","Чиста додана вартість у сільському господарстві у фактичних цінах","Річна","2018","318132","Гривня","Мільйони","Нуль","","","Дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях.",""
" Рахунки виробництва та утворення доходу у сільському господарстві (у фактичних цінах)","Україна","Елементи рахунків","Чиста додана вартість у сільському господарстві у фактичних цінах","Річна","2019","308648","Гривня","Мільйони","Нуль","","","Дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях.",""
